,hcr,avg,coop,ratio,round,ratio__good,ratio__bad,ratio__random,ratio__tit4tat,ratio__tit4tat2,ratio__rev_tit4tat,ratio__rev_tit4tat2,ratio__win_stay_lose_shift,ratio__q_table,ratio__neutral
0,48,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,95,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,142,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,189,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,234,45.0,0.75,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,281,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,328,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,376,48.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,423,47.0,0.9166666666666666,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,469,46.0,0.8333333333333334,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
