,hcr,avg,coop,ratio,round,ratio__good,ratio__bad,ratio__random,ratio__tit4tat,ratio__tit4tat2,ratio__rev_tit4tat,ratio__rev_tit4tat2,ratio__win_stay_lose_shift,ratio__q_table,ratio__neutral
0,41,41.0,0.5833333333333333,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,83,42.0,0.6666666666666667,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,127,44.0,0.6666666666666667,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,171,44.0,0.6666666666666667,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,209,38.0,0.5,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,251,42.0,0.6666666666666667,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,293,42.0,0.6666666666666667,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,333,40.0,0.5,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,374,41.0,0.5833333333333333,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,415,41.0,0.5833333333333333,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'neutral'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
