,hcr,avg,coop,ratio,round,ratio__good,ratio__bad,ratio__random,ratio__tit4tat,ratio__tit4tat2,ratio__rev_tit4tat,ratio__rev_tit4tat2,ratio__win_stay_lose_shift,ratio__q_table,ratio__test_ps
0,360,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,720,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,1080,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3,1440,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,1800,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
5,2160,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6,2520,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7,2880,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,3240,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,3600,360.0,1.0,"label -> ['good', 'bad', 'random', 'tit4tat', 'tit4tat2', 'rev_tit4tat', 'rev_tit4tat2', 'win_stay_lose_shift', 'q_table', 'test_ps'],                                         percent -> [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
